Source Airport,Destination Count,Latitude,Longitude
AER,26,43.449902,39.9566
ASF,8,46.2832984924,48.0063018799
CEK,20,55.305801,61.5033
DME,324,55.40879821777344,37.90629959106445
EGO,11,50.643798828125,36.5900993347168
GYD,64,40.46749877929688,50.04669952392578
KGD,15,54.88999938964844,20.592599868774414
KZN,28,55.606201171875,49.278701782227
LED,184,59.80030059814453,30.26250076293945
MRV,22,44.22510147094727,43.08190155029297
NBC,7,55.56470108032226,52.09249877929688
NJC,14,60.94929885864258,76.48359680175781
NUX,16,66.06939697265625,76.52030181884766
OVB,87,55.012599945068,82.650703430176
SVX,98,56.743099212646,60.802700042725
TGK,1,47.1983333,38.849166700000005
UUA,4,54.63999938964844,52.80170059204102
BTK,4,56.37060165405274,101.697998046875
HTA,11,52.026299,113.306
IKT,41,52.268001556396,104.38899993896
KCK,1,57.773,108.064
MJZ,9,62.53469848632813,114.03900146484376
ODO,2,57.8661003113,114.24299621600001
UKX,2,56.8567008972168,105.7300033569336
ULK,6,60.7206001282,114.82599639899999
YKS,38,62.093299865722656,129.77099609375
AYP,2,-13.154800415039062,-74.20439910888672
CUZ,11,-13.535699844400003,-71.9387969971
HUU,2,-9.878809928894043,-76.20480346679688
IQT,7,-3.7847399711608887,-73.30879974365234
LIM,115,-12.0219,-77.114305
PCL,6,-8.37794017791748,-74.57430267333984
PEM,3,-12.613599777200001,-69.2285995483
TPP,6,-6.508739948272705,-76.37319946289062
ABJ,50,5.261390209197998,-3.9262900352478023
ACC,54,5.605189800262451,-0.16678600013256073
BKO,28,12.5335,-7.94994
BOY,2,11.160099983215332,-4.33096981048584
COO,41,6.357230186462402,2.384350061416626
DKR,67,14.739700317382812,-17.49020004272461
LFW,20,6.165609836578369,1.2545100450515747
NIM,17,13.4815,2.18361
OUA,33,12.3532,-1.51242
BOG,152,4.70159,-74.1469
CLO,30,3.54322,-76.3816
GYE,35,-2.15741991997,-79.88359832760001
OCC,3,-0.4628860056400299,-76.98680114746094
SCY,4,-0.910206,-89.617401
UIO,39,-0.129166666667,-78.3575
BDS,22,40.6576,17.947001
BOD,67,44.8283004761,-0.7155560255050001
BRS,100,51.382702,-2.71909
GVA,166,46.23809814453125,6.108950138092041
LCA,93,34.875099182128906,33.62490081787109
LPA,154,27.931900024414066,-15.38659954071045
RMF,6,25.557100295999998,34.5836982727
TFS,159,28.044500351,-16.5725002289
ZRH,247,47.464698999999996,8.54917
AJR,2,65.59030151367189,19.28190040588379
ARN,219,59.651901245116996,17.918600082397
GEV,6,67.13240051269531,20.814599990844727
HAD,6,56.69110107421875,12.820199966430664
HMV,2,65.80609893798828,15.082799911499025
JKG,2,57.75759887695313,14.068699836730955
KOK,3,63.721199035645,23.143100738525
KRF,4,63.04859924316406,17.76889991760254
KSD,2,59.444698333699996,13.337400436400001
LYC,4,64.54830169677734,18.71619987487793
MHQ,4,60.122200012207,19.898199081421
